region,country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North America,Canada,260.3284936,271.6951346,285.5430649,308.2821736,320.4558017,344.9115655,351.5879038,367.9821519,393.7246878,400.1831262,398.0655426,412.8802689,436.3894794,424.5937131,430.7089895,440.5817458,420.6700804,406.9653322,387.9874637,408.4266515,403.4730813,393.3852138,406.7250959,437.382196,457.3823517,444.8304496,427.9907949,441.9412007,438.44547,453.1532871,471.4836546,480.5603834,493.9847743,508.3372475,513.2305162,533.1058592,535.8367509,548.6536674,557.7644345,555.3070069,555.0252732,547.9905202,574.9927665,559.4669927,531.5976576,546.2712786,550.2463764,546.4820913,560.7266363,566.4281876,566.1858947,547.6953995,563.7261448,573.4995675,571.3033086,517.316976,527.367352
North America,Mexico,62.13332884,65.05567306,66.64749812,72.17091106,79.10671586,84.17217965,89.46165039,99.66788002,107.6740247,120.8593037,131.1317188,138.8726336,146.5295948,165.1439454,180.2301383,198.1239994,210.9644565,221.3376869,217.8270683,226.5293323,233.8951033,230.3729978,239.9327292,240.9573576,253.8719441,267.7074035,277.117153,279.9878579,283.9692022,307.6171102,294.8561025,306.2982454,319.9274898,337.0906501,333.9032996,353.8471954,352.3491231,371.5738139,372.8530945,390.4388414,416.5884368,427.3394917,429.6010998,432.234914,433.5446714,442.6135201,465.8449648,473.9729999,472.8373683,459.6365934,463.1219484,468.7896322,476.9468961,468.2232193,449.3128341,357.6824129,373.7577144
North America,US,3451.891855,3639.795004,3738.161319,3947.343459,4117.396247,4271.528132,4309.068601,4525.83078,4739.462447,4567.579913,4386.800296,4647.562781,4791.336693,4833.699474,4921.142686,4742.374464,4596.205926,4371.094214,4332.116761,4558.841566,4576.006629,4598.18559,4749.85354,4969.138238,5058.078032,4970.491814,4922.618223,5004.921294,5117.553324,5195.388787,5227.893829,5407.639017,5483.026086,5524.139127,5574.140178,5740.684612,5650.668381,5672.347141,5737.63158,5838.882108,5873.173026,5795.22348,5884.218845,5700.862058,5289.244885,5485.723766,5336.157012,5089.147985,5246.614128,5251.662107,5137.47809,5037.996685,4978.762409,5132.735255,4980.948415,4420.60685,4701.10576
S. & Cent. America,Argentina,82.16638649,84.52158575,86.85160299,89.32727141,92.18865633,85.89974303,90.80462908,91.59077826,94.93613998,97.13421099,93.23389315,97.78817752,102.0940993,99.46544233,106.0642851,101.6430139,97.21586748,97.17400986,100.186433,97.79747213,94.63607653,100.0037047,104.6175995,109.9435435,107.2024591,100.2537727,102.8321562,108.8821595,107.6744776,113.9810765,118.9243481,126.3334056,125.0110205,131.95226,136.4300754,131.3890934,120.6907087,115.9994318,125.4128523,137.1084492,145.2724675,151.1795858,164.5240107,166.0172759,158.2018264,167.0834894,173.078927,181.8872066,187.8116012,187.7752728,191.2190713,190.1382172,188.4693708,185.8755889,175.4522615,164.8479898,181.6724943
S. & Cent. America,Brazil,51.52221484,56.16623386,58.01140648,68.14655486,74.25741954,83.8801603,92.17067039,103.5455616,123.6119184,133.3617033,139.2221472,149.4958295,156.0266632,168.3921767,176.3801037,175.7692239,167.3205672,167.8930046,162.7041382,169.6900578,176.8416449,191.7297884,197.5969122,201.1335936,205.1052069,196.5870467,205.9515413,216.3409281,227.2234238,237.2154693,251.6630786,270.803633,283.9259989,294.481206,297.4705243,302.1287569,311.4977415,312.0677438,308.9102365,323.1020776,330.1884029,335.6927196,350.1232064,372.9419518,350.788524,399.4068405,424.2090228,444.5160067,483.0108548,505.2085823,476.6192739,440.7710425,446.3742345,427.5636994,425.125238,390.503152,436.6089737
S. & Cent. America,Chile,16.70436529,17.92339066,18.25253475,18.72852873,19.85040706,20.93318828,22.38805687,22.37327215,21.60339789,20.71226274,17.95912621,18.91677053,19.55291406,20.78660324,21.54221193,22.09295338,22.53193623,19.21476444,19.4043039,20.62324464,20.24529047,20.87481653,21.59390605,25.52488205,30.77505412,31.68739503,32.71346254,33.39317273,35.613567,38.77776669,42.28093161,47.64945571,54.93740002,56.35750304,58.34095466,56.35287665,53.78773919,55.28781118,55.28828702,60.23777435,61.53385009,65.43660976,76.46674358,77.40180611,74.37199044,76.07385531,87.0044475,89.37793467,91.12136759,88.41505146,88.91919326,94.06294884,92.39358227,92.98844891,94.55840873,84.41069805,86.96054894
S. & Cent. America,Colombia,21.30853138,23.05258674,24.36844865,25.21409779,25.32042094,27.66261055,26.20292542,29.34978043,28.59135965,32.30465239,32.66994638,33.79688499,34.53684694,35.84178879,37.6240949,37.40738678,38.49827206,39.95117212,42.50059659,42.71783497,44.02678632,43.65232429,48.22764509,46.40697673,48.79964041,41.97937678,44.57579105,52.67758404,55.29207047,58.32821103,58.78166252,57.49973783,62.71066993,63.33051311,54.97452954,54.92062564,52.90574942,50.54170804,52.33944861,51.87727261,50.88352867,60.77582527,59.37957427,66.63895754,66.77544257,72.09492836,69.05462667,77.49967141,80.5458717,85.5889855,86.71032472,91.44446883,84.51796746,86.58238354,92.66068034,80.8705789,86.51743734
S. & Cent. America,Ecuador,2.06851262,2.150559379,2.312434258,2.763360844,2.931986659,3.480899898,3.802886914,3.839428403,4.320807514,4.810389172,4.833906421,5.62021789,6.80158867,6.931361159,7.310104592,9.154450443,10.03219273,10.92519414,10.06330968,10.60099259,12.82246305,13.01541791,13.06383058,15.6093397,15.81117827,16.60942176,18.73461075,18.79513696,18.81176007,20.23198724,19.90988739,22.50072065,25.70301382,25.66563769,22.44653348,20.27063233,20.88057564,20.28754212,20.67465949,23.09712696,25.22942285,26.73418631,26.99997251,27.56722703,27.91166563,32.16648133,32.76907519,34.20871381,36.48890179,38.42262956,37.55696358,35.4348988,34.31554319,37.14193025,35.65796468,28.68185482,35.53749916
S. & Cent. America,Peru,12.52914182,15.39537349,15.48857121,15.66960913,15.65376927,16.41350451,16.42396163,14.22624622,16.6410774,19.62489622,20.0697638,20.13385451,20.15672493,19.90569693,20.67503092,22.22753392,22.77677487,22.50023935,19.48185867,20.26241233,19.58388171,20.85058005,22.47585164,22.23602054,19.84518156,19.5557566,18.62741444,19.24446816,19.94649838,21.58295662,24.2822856,25.50287354,25.80046666,25.39030075,25.91800565,26.04616259,24.40553291,25.09349059,24.29816022,27.43178931,28.56422946,27.21393406,31.01440955,34.37952892,34.50129543,40.09494679,44.97260936,45.99134941,46.87461196,47.8061523,50.17810536,54.83156908,54.02370164,56.53632364,58.45287275,46.40912237,56.00955911
S. & Cent. America,Trinidad & Tobago,7.661584732,8.002955986,8.471639321,8.701003209,9.021076656,9.71819515,9.874022382,14.30480784,14.17855351,13.31279272,10.21225922,11.70773552,11.74509779,10.95472249,9.140962927,8.572897496,9.581508299,9.918522339,8.966574718,8.144059634,8.400688682,9.102786516,7.953888159,8.327784275,8.034797902,9.647707117,9.080805328,10.59070771,10.67801769,10.15132647,11.26452835,11.79266015,10.79984483,10.27939544,12.40648773,13.16870364,13.92110786,15.69223189,18.12887687,19.20063613,19.0659259,22.40058043,23.63282438,23.77269679,22.19819188,24.69715561,24.62197587,24.21679909,25.5277801,24.77252026,23.95023768,21.8641182,21.29757716,20.62945503,18.33870547,16.06721909,15.95380168
S. & Cent. America,Venezuela,43.74159393,44.03436088,45.99482936,48.95232769,49.102185,49.3614494,49.54257185,52.2862829,59.67673902,60.83164081,62.70732006,66.19018513,73.91360036,75.18777516,83.15241035,95.36750153,99.21972327,99.84142203,98.37363663,98.470724,99.99177676,105.75464,101.248086,103.6320378,106.4082516,112.2027225,106.2400294,117.5441531,114.736101,124.9047594,128.173585,119.3718411,127.1545981,137.883493,138.6123494,142.064817,151.7627228,156.2696886,144.3636869,152.8689706,153.6461524,160.0826355,171.4939349,165.3556913,166.223101,167.4295352,167.3041608,177.918174,183.3924162,173.3300124,172.2011562,149.283135,146.3227707,121.1372963,100.0928439,82.83274316,89.17554327
S. & Cent. America,Central America,10.81812159,10.71483749,11.15523924,11.50623892,11.96555878,12.42166211,12.89466559,13.67977423,15.06563937,15.99858529,17.90560204,18.71299533,19.92689291,20.15243524,20.3899965,19.06808134,18.48295413,18.43753619,18.13192783,18.40014222,18.75435979,18.76100338,20.15454865,19.53136665,20.35257828,21.0849934,23.09410016,26.30641849,28.11601072,30.79678919,34.07159001,33.40717441,35.99435244,41.38018109,40.78947891,42.73662874,45.94460694,46.01621381,48.01820537,49.15206463,48.53393971,51.54240862,54.10074998,54.5638099,53.4032456,54.49976607,58.28504555,59.40094772,60.33987814,62.33897094,68.44273734,71.16272254,70.55431286,67.81272869,74.88542663,63.50470623,72.53587373
S. & Cent. America,Other Caribbean,48.67875151,50.14599391,52.2280412,53.33434262,56.41745932,70.23825412,71.37431118,76.44595949,82.69890728,81.88885517,79.29356378,80.46475944,84.69367008,86.28009337,88.83064323,99.12615933,99.82111957,87.26959486,83.66247432,88.77065098,83.22704985,81.33581961,85.1041285,85.20730369,89.69060811,89.33270901,84.94991504,83.34901138,84.42469604,89.3149584,87.27858631,88.70370103,94.09317229,96.99602906,90.54160187,106.5576823,113.9496393,114.1185123,117.024393,119.6470755,119.863212,123.6282313,122.8780145,115.3835976,109.8692722,108.0121788,110.2417589,107.3549992,104.8103216,103.9277535,107.0813046,110.7375315,107.0036878,110.2240332,113.8899297,100.2496303,112.3409061
S. & Cent. America,Other South America,9.823757444,10.009092,10.08568331,10.30438362,11.02821359,11.30308297,11.43565188,12.05955123,12.35432974,12.10660577,13.46380573,13.90475371,14.17731911,15.84242287,16.34612928,15.48770872,15.29827531,14.23900242,12.71711357,12.40206677,12.58764497,12.63573052,12.96467015,14.5344325,14.83379011,14.1138358,14.73307282,15.41723847,16.09622061,17.93303249,20.39782672,20.98346415,21.25652359,21.82155972,23.5882759,20.35444765,19.73239566,19.78890569,21.31149308,23.03058447,23.10173379,23.18008959,25.20007541,27.90931912,30.12405776,32.09650997,33.5165618,34.03554674,34.68146133,35.03936215,35.50639158,37.39987284,38.09017866,39.51618831,39.41810811,36.20545693,39.81083412
