Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,5.000530381,5.323648011,5.566649454,5.924124628,6.28325222,6.726827993,6.937723617,7.467378746,8.10915641,8.364237191,8.240174624,8.629160132,9.127952998,9.30317853,9.576737738,9.762096575,9.704772413,9.412660257,9.36109814,9.958185238,10.28619014,10.38572662,10.71940791,11.14864528,11.25861176,10.83089509,10.8749801,11.16621085,11.44802409,11.88416077,12.17479312,12.50652945,12.56848307,12.38820959,12.78327257,13.13096235,12.85955248,13.29621427,13.35967619,13.56504324,13.65572098,13.57985847,14.09746534,13.92985313,13.38429806,13.51797121,14.02915653,14.07408863,14.4158872,14.45389171,14.54733333,14.34703635,14.5799919,14.70247222,14.63040358,13.8224428,13.93616124
Mexico,1.055970777,1.118099326,1.13957801,1.241152682,1.362338367,1.454514716,1.529384901,1.690485957,1.823291091,2.007651124,2.144097396,2.28197531,2.407338153,2.709035293,2.995347279,3.262764962,3.607493527,3.759531563,3.717526941,3.890974369,4.083826026,3.962427769,4.092837486,4.123673239,4.355385996,4.581670532,4.758692451,4.843727478,4.868507814,5.143297949,5.068147771,5.228963363,5.31558067,5.550156701,5.625112633,5.889787045,5.815412671,5.997982749,6.044984834,6.372828091,6.782949182,6.998350442,7.032896486,7.187125475,7.122738964,7.336261126,7.687863079,7.731667638,7.763674974,7.729461956,7.719363282,7.818504867,7.932166339,7.897639555,7.581279295,6.430212394,6.788998976
US,51.9829241,54.89050835,56.80274233,60.18978741,63.30032381,65.541021,66.9204316,70.25069384,73.22326459,71.43338473,69.55013677,73.35543496,75.22432833,76.89344715,77.70384167,74.70704916,72.49713467,69.54530499,69.30191386,72.84848215,72.66328173,73.33907742,75.80179325,79.25359528,81.17327583,81.38380436,81.27471622,82.47364038,84.2040856,85.75339598,87.62729475,90.58103618,91.26091511,91.84499597,93.4743814,95.56353541,93.28600902,94.67225364,94.96840401,96.83117681,96.87648133,96.11322655,97.42963246,95.05985424,90.37990957,93.42671476,92.61383499,90.17231174,92.61989975,93.58638498,92.68932238,92.60334522,92.94851052,96.34490275,95.65797966,88.53560487,92.97165858
Total North America,58.03942525,61.33225569,63.50896979,67.35506472,70.9459144,73.72236371,75.38754012,79.40855854,83.15571209,81.80527305,79.93440879,84.2665704,86.75961948,88.90566097,90.27592668,87.73191069,85.80940061,82.71749681,82.38053895,86.69764176,87.03329789,87.68723181,90.61403865,94.5259138,96.78727359,96.79636998,96.90838877,98.48357871,100.5206175,102.7808547,104.8702356,108.316529,109.1449789,109.7833623,111.8827666,114.5842848,111.9609742,113.9664507,114.373065,116.7690481,117.3151515,116.6914355,118.5599943,116.1768328,110.8869466,114.2809471,114.3308546,111.978068,114.7994619,115.7697386,114.956019,114.7688864,115.4606688,118.9450145,117.8696625,108.7882601,113.6968188
Argentina,1.18266801,1.220993728,1.256475934,1.298987475,1.342431255,1.272502751,1.3490219,1.365964423,1.427392442,1.484104008,1.450845211,1.521625741,1.589153784,1.5915129,1.708905953,1.699124777,1.648813043,1.679446011,1.750337884,1.754968212,1.733876477,1.831888348,1.914517589,1.946560121,1.877090786,1.846829974,1.876753465,2.013465593,2.080137073,2.191492125,2.261603127,2.365566177,2.393070312,2.478282367,2.5053083,2.515452895,2.45689476,2.355911903,2.525131376,2.681342385,2.846163736,2.990049864,3.120416328,3.160922496,3.072746412,3.185636295,3.273665195,3.401829625,3.538283171,3.527488196,3.587523734,3.570089226,3.566105715,3.540534156,3.350906295,3.171094586,3.432285354
Brazil,0.985930662,1.075608517,1.114484755,1.272549699,1.388923162,1.612262591,1.763074406,2.031646244,2.420470675,2.645685388,2.797176614,3.074065508,3.288564915,3.624298593,3.927725106,4.013769939,3.916471535,4.113547455,4.20092811,4.512714952,4.806339389,5.118880758,5.271005845,5.475819911,5.587308493,5.49950598,5.712490223,5.977900078,6.245300253,6.560446002,6.888492981,7.273275064,7.68878396,7.97075372,8.112268586,8.257129266,8.067244611,8.271287832,8.42543172,8.828934999,9.082535805,9.315534388,9.887404495,10.30252467,10.24320693,11.28335686,11.79652401,12.02145988,12.43703992,12.72959992,12.39721814,12.12181731,12.25415039,12.30258764,12.55541856,12.00091052,12.56561033
Chile,0.262890155,0.28180987,0.287304669,0.286166477,0.308308382,0.325445058,0.35200515,0.363919323,0.350016535,0.346744859,0.312701693,0.328729614,0.34100686,0.360968603,0.372995943,0.385276052,0.395376572,0.362794736,0.373093635,0.390286541,0.396363035,0.414411048,0.435015127,0.48459582,0.532441943,0.560450181,0.62987113,0.699098313,0.738821118,0.775732516,0.836047999,0.885041964,1.011811334,1.013312984,1.05521481,1.118465425,1.128041687,1.168068382,1.160963089,1.218744404,1.268254942,1.353927995,1.381645703,1.372686928,1.345053967,1.349068302,1.466215927,1.502056018,1.518967876,1.488842198,1.524457139,1.599609107,1.614974473,1.685139755,1.735036398,1.619842619,1.663829706
Colombia,0.320030938,0.348763943,0.371414318,0.391457138,0.398509932,0.434839394,0.427690042,0.4803448,0.480064923,0.538029522,0.549885785,0.572899246,0.585881247,0.627285049,0.666646346,0.678670969,0.694423358,0.726378246,0.763005219,0.784230857,0.815700979,0.843770463,0.917415025,0.918885018,0.967472609,0.906366782,0.940825877,0.979813954,1.080912999,1.1619586,1.179663772,1.211537345,1.24611966,1.250548431,1.160041649,1.129236056,1.111851263,1.109185099,1.14843581,1.169735521,1.173360026,1.311372912,1.315604954,1.422044073,1.393797831,1.465021462,1.51498062,1.619360806,1.62851992,1.710254865,1.729481354,1.816163239,1.835619953,1.871680261,1.929538195,1.733450254,1.923512484
Ecuador,0.03116494,0.032804969,0.035494704,0.041911325,0.044529822,0.053182891,0.05843288,0.061053198,0.065347052,0.076276009,0.077249887,0.085049056,0.101136332,0.105782259,0.11015294,0.139745261,0.154998203,0.170324595,0.166819634,0.18565467,0.21948582,0.23006101,0.237115463,0.273856493,0.282411133,0.291535575,0.321979322,0.320325843,0.332033125,0.361161832,0.34134553,0.388488631,0.432796427,0.435038562,0.396830535,0.374863749,0.379738657,0.374793732,0.383786716,0.410601368,0.434609258,0.459668434,0.483309195,0.515826358,0.503298422,0.558699198,0.592719475,0.626160354,0.646232942,0.67882737,0.676966124,0.674653825,0.700439175,0.741212449,0.760704504,0.656447824,0.762230635
Peru,0.203368886,0.247219247,0.251780672,0.256487349,0.258483312,0.266566151,0.279253802,0.250515062,0.287496402,0.332985105,0.342948492,0.348524774,0.35074765,0.349044393,0.363280745,0.38791824,0.407673998,0.407680043,0.360808272,0.380443029,0.377757175,0.404254754,0.4344064,0.423860687,0.389843099,0.385663049,0.38294136,0.372921454,0.406634138,0.442441922,0.481968556,0.49835253,0.502569605,0.504618295,0.519468228,0.535517088,0.529691534,0.542295172,0.534873554,0.568394341,0.594491798,0.599872614,0.656580565,0.706988907,0.724954978,0.825379892,0.910959492,0.940208214,0.961045347,0.98537851,1.032515653,1.102007906,1.134784332,1.195391924,1.22981378,1.039116482,1.199656761
Trinidad & Tobago,0.121052354,0.128798581,0.137296204,0.141531435,0.145952232,0.160850095,0.162576571,0.224078889,0.222252361,0.214072984,0.172493007,0.193944595,0.201780821,0.203168074,0.179509029,0.172620907,0.182270763,0.214069014,0.208862325,0.205872441,0.212768001,0.221224885,0.208849564,0.229514453,0.225797102,0.250559828,0.249799917,0.264407209,0.278703114,0.295355796,0.320299072,0.362884505,0.362790649,0.368247676,0.409280605,0.427807507,0.461597206,0.50090364,0.561568498,0.617577488,0.662182729,0.773418236,0.797530473,0.785801717,0.779289165,0.841932868,0.826824692,0.813961543,0.829064597,0.824803794,0.800290382,0.710038925,0.753428785,0.713135499,0.695053132,0.60585265,0.614570898
Venezuela,0.689345212,0.695904221,0.733737055,0.791758466,0.800543599,0.808111394,0.821562783,0.868470363,0.993661651,1.027885726,1.069016093,1.168886999,1.302698523,1.331094346,1.467553685,1.642406017,1.703815542,1.737627861,1.731478809,1.765490084,1.813582459,1.948486675,1.946941212,2.02796703,2.045020842,2.172797218,2.187508695,2.367412665,2.342366235,2.542782112,2.618629813,2.551905499,2.69768006,2.861028633,2.863344288,2.945943648,3.060703662,3.096324482,2.893598405,3.142847517,3.239021229,3.417566332,3.610080749,3.542923272,3.534642774,3.406866281,3.491684111,3.654400638,3.685528192,3.538199254,3.489028915,3.03697572,3.06346517,2.518244402,2.089417063,1.925408745,2.031533267
